name,age,income,score
Alice,25,60000,85
Bob,32,75000,78
Charlie,29,50000,92
David,45,98000,65
Eve,37,88000,73
Paul,30,61192,91
Hank,24,117105,99
Xander,55,89446,73
Omar,22,111039,92
Yara,29,56233,62
Tina,43,41874,91
Frank,23,58153,95
Uma,59,73291,90
Leo,60,56393,80
Jack,36,56196,93
Mia,56,99963,65
Tina,50,70205,80
Jack,49,100045,79
Uma,48,116312,78
Quinn,41,77458,80
Rita,27,55134,65
Nina,46,89727,72
Omar,32,73197,76
Xander,29,84303,85
Jack,20,117919,84
Ivy,49,74110,92
Mia,56,59601,85
Hank,59,51340,77
Vince,29,113182,94
Leo,41,96474,84
Frank,57,45464,74
